a_F,c_0,c_m,c_H2,c_HF,w_rec,w_F,J,B,n_flux,n_flux_pred,n_conc,n_conc_pred,err_analytical
1.000000000000000056e-01,5.623413251903491172e+00,1.915595442752870081e+00,9.173764750738909735e-01,7.662381771011481102e-02,1.834752950147782391e+00,3.831190885505739163e-02,3.707817809150621979e+00,1.044061786410304185e-02,1.989644727030850824e+00,1.989667262301695105e+00,1.959832088164754849e+00,1.959911714425623952e+00,2.220446049250313081e-16
1.000000000000000056e-01,6.812920690579607808e+00,2.149515123209418288e+00,1.155103816226500157e+00,8.598060492837673874e-02,2.310207632453000315e+00,4.299030246418836243e-02,4.663405567370189075e+00,9.304423953127721747e-03,1.990761789232087686e+00,1.990781350272215144e+00,1.964047711539444574e+00,1.964117758535390168e+00,0.000000000000000000e+00
1.000000000000000056e-01,8.254041852680181535e+00,2.407900247212056755e+00,1.449495900130971071e+00,9.631600988848226796e-02,2.898991800261942142e+00,4.815800494424116174e-02,5.846141605468125668e+00,8.305991921034372449e-03,1.991745394682784109e+00,1.991762429274857249e+00,1.967782647804812157e+00,1.967844369930165982e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+01,2.693139085334884442e+00,1.813249533239604361e+00,1.077255634133953699e-01,3.626499066479209610e+00,5.386278170669772658e-02,7.306860914665117335e+00,7.426278170669773152e-03,1.992613584136252669e+00,1.992628464899531160e+00,1.971097344350308589e+00,1.971151825588892459e+00,3.330669073875469621e-16
1.000000000000000056e-01,1.211527658628587645e+01,3.007865345104312027e+00,2.261813483569869554e+00,1.203146138041724794e-01,4.523626967139742661e+00,6.015730690208628828e-02,9.107411241181571526e+00,6.649233827090226222e-03,1.993381648540154316e+00,1.993394686447223174e+00,1.974043959416547089e+00,1.974092134513949492e+00,2.220446049250313081e-16
1.000000000000000056e-01,1.467799267622067561e+01,3.354982881750032231e+00,2.813977534208910836e+00,1.341993152700012848e-01,5.627955068417928253e+00,6.709965763500069791e-02,1.132300979447085787e+01,5.961282279201196056e-03,1.994062588609027742e+00,1.994074044017186242e+00,1.976667544465499304e+00,1.976710218724804680e+00,4.218847493575594854e-15
1.000000000000000056e-01,1.778279410038922848e+01,3.737692797318564963e+00,3.492586861781072916e+00,1.495077118927426174e-01,6.985173723564932935e+00,7.475385594637129483e-02,1.404510130307623683e+01,5.350894544983495101e-03,1.994667493495040134e+00,1.994677585135680165e+00,1.979007068004840164e+00,1.979044935188034593e+00,8.792966355031239800e-14
1.000000000000000056e-01,2.154434690031882127e+01,4.159523198391760879e+00,4.325408309489806591e+00,1.663809279356704696e-01,8.650816618979609629e+00,8.319046396783519315e-02,1.738482370192705417e+01,4.808243408218712545e-03,1.995205852878513042e+00,1.995214765165630455e+00,1.981096295299094479e+00,1.981129953474403127e+00,2.220446049250313081e-16
1.000000000000000056e-01,2.610157215682533050e+01,4.624361903569452537e+00,5.346180753796121898e+00,1.849744761427780937e-01,1.069236150759224735e+01,9.248723807138908848e-02,2.147721025325588329e+01,4.324921019819492202e-03,1.995685814389497992e+00,1.995693703372980243e+00,1.982964540251126451e+00,1.982994505601429092e+00,1.110223024625156540e-16
1.000000000000000056e-01,3.162277660168379256e+01,5.136492415799723155e+00,6.595888584392018750e+00,2.054596966319889584e-01,1.319177716878403750e+01,1.027298483159944653e-01,2.648628418588407030e+01,3.893707686295904379e-03,1.996114396249591749e+00,1.996121394469868804e+00,1.984637305748302438e+00,1.984664024477885924e+00,2.220446049250313081e-16
1.000000000000000056e-01,3.831186849557285257e+01,5.700633501952345306e+00,8.124305580895365253e+00,2.280253400780938300e-01,1.624861116179073051e+01,1.140126700390469150e-01,3.261123499362050637e+01,3.508382005815744581e-03,1.996497663263253841e+00,1.996503883705681659e+00,1.986136827833377083e+00,1.986160686372353101e+00,0.000000000000000000e+00
1.000000000000000056e-01,4.641588833612772902e+01,6.321982752914978576e+00,9.991866482038611608e+00,2.528793101165991430e-01,1.998373296407723032e+01,1.264396550582995715e-01,4.009390558321275932e+01,3.163564467299167030e-03,1.996840872778989251e+00,1.996846412111290325e+00,1.987482537667270677e+00,1.987503871364918462e+00,2.220446049250313081e-16
1.000000000000000056e-01,5.623413251903490817e+01,7.006264532268345668e+00,1.227193567403029917e+01,2.802505812907338245e-01,2.454387134806078308e+01,1.401252906453669400e-01,4.922786798676693110e+01,2.854588191451677345e-03,1.997148596062537251e+00,1.997153537287395197e+00,1.988691453597363434e+00,1.988710554109897055e+00,1.776356839400250465e-15
1.000000000000000056e-01,6.812920690579608163e+01,7.759782760496261922e+00,1.505355712252247535e+01,3.103913104198505191e-01,3.010711424505003819e+01,1.551956552099251763e-01,6.036942414530999912e+01,2.577391741147047437e-03,1.997424819492387371e+00,1.997429234129575626e+00,1.989778514058192727e+00,1.989795635613386349e+00,3.974598428158060415e-14
1.000000000000000056e-01,8.254041852680173008e+01,8.589479025021253378e+00,1.844478748032001647e+01,3.435791610008501751e-01,3.688957496064003294e+01,1.717895805004250320e-01,7.395093950178049624e+01,2.328429924764908229e-03,1.997673029184845461e+00,1.997676979066691949e+00,1.990756860498368752e+00,1.990772225208791824e+00,2.220446049250313081e-16
1.000000000000000056e-01,1.000000000000000000e+02,9.502996554478583491e+00,2.257673587860796260e+01,3.801198621791433974e-01,4.515347175721591100e+01,1.900599310895716432e-01,9.049700344552140052e+01,2.104599310895716689e-03,1.997790268151423465e+00,1.997899820724959419e+00,1.991219330379583763e+00,1.991651880542248954e+00,2.220446049250313081e-16
1.000000000000000000e+00,1.000000000000000021e-03,8.327554319920730998e-04,1.733704023780760668e-07,3.331021727968292508e-04,3.467408047561521335e-07,1.665510863984145983e-04,1.672445680079268939e-04,2.401665510863983855e+02,1.004568699300960599e+00,1.004146512007968006e+00,1.001146113967854800e+00,1.001039861851733104e+00,2.220446049250313081e-16
1.000000000000000000e+00,1.211527658628588954e-03,1.008758387619996004e-03,2.543983711484235404e-07,4.035033550479984231e-04,5.087967422968470807e-07,2.017516775239991574e-04,2.027692710085928418e-04,1.982635311433374454e+02,1.005048814281472858e+00,1.005018479770293016e+00,1.001267059700769124e+00,1.001259359997074938e+00,0.000000000000000000e+00
